AUTHORISATION ID / PERMIT ID,ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,EA AREA NAME LABEL,ROUTE NAME LABEL,REGULATED INDUSTRY SECTOR LABEL,REGULATED INDUSTRY SUB SECTOR LABEL,PNEC (??g/L),Latitude,Longitude,REGION
BW0991IX,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Valencia Waste Management Limited,Erin Landfill Markham Lane Duckmanton,S44 5HS,444900,373000,Yorkshire,Wastewater,Fluoranthene,0.1,0,Landfill,Non Hazardous Landfill,13,3,7,17,,53.2521202,-1.328500562,East Midlands
BK1449IK,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Tarmac Aggregates Limited,Cotesbach Landfill Gibbet Lane Shawell Lutterworth Leicestershire,LE17 6AA,454000,280600,West Midlands,Wastewater,Heptachlor,0.1,0,Landfill,Non Hazardous Landfill,12,3,7,17,,52.4207335,-1.207385065,East Midlands
CP3899SD,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING BIOLOGICAL TREATMENT,Environcom England Limited,Spittlegate Level Spittlegate Level Lincolnshire,NG31 7UH,491940,333440,Lincolnshire and Northamptonshire,Wastewater,"Indeno(1,2,3-cd)pyrene",1,0,Waste Treatment,Metals Recycling,7,3,14,14,,52.89056205,-0.634920759,East Midlands
CP3899SD,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING BIOLOGICAL TREATMENT,Environcom England Limited,Spittlegate Level Spittlegate Level Lincolnshire,NG31 7UH,491940,333440,Lincolnshire and Northamptonshire,Wastewater,Benzo(a)pyrene,1,0,Waste Treatment,Metals Recycling,7,3,14,14,,52.89056205,-0.634920759,East Midlands
CP3899SD,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING BIOLOGICAL TREATMENT,Environcom England Limited,Spittlegate Level Spittlegate Level Lincolnshire,NG31 7UH,491940,333440,Lincolnshire and Northamptonshire,Wastewater,Cypermethrin,0.005,0,Waste Treatment,Metals Recycling,7,3,14,14,1.30E-05,52.89056205,-0.634920759,East Midlands
CP3899SD,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING BIOLOGICAL TREATMENT,Environcom England Limited,Spittlegate Level Spittlegate Level Lincolnshire,NG31 7UH,491940,333440,Lincolnshire and Northamptonshire,Wastewater,Fluoranthene,0.1,0,Waste Treatment,Metals Recycling,7,3,14,14,,52.89056205,-0.634920759,East Midlands
CP3899SD,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING BIOLOGICAL TREATMENT,Environcom England Limited,Spittlegate Level Spittlegate Level Lincolnshire,NG31 7UH,491940,333440,Lincolnshire and Northamptonshire,Wastewater,Heptachlor,0.1,0,Waste Treatment,Metals Recycling,7,3,14,14,,52.89056205,-0.634920759,East Midlands
ZP3009BB,"PAPER, PULP AND BOARD; PRODUCING PAPER/BOARD >20T/D",Northwood Tissue (Chesterfield) Ltd,Chesterfield Paper Mill Goyt Side Road Derbyshire,S40 2PH,436850,370600,Yorkshire,Wastewater,Cypermethrin,0.005,0,Paper and textiles,Paper & Pulp,13,3,12,23,1.30E-05,53.23116628,-1.449423475,East Midlands
KP3403PD,LOADING/STORAGE/TREATMENT ETC OF CRUDE OIL,Phillips 66 Limited,"Crude Oil terminals Ltd,Tetney Oil Terminal Tetney Lock Road Tetney Grimsby Lincolnshire",DN36 5NX,532830,402210,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Refineries & Fuel,Refineries & Fuel,7,1,13,25,,53.49982028,0.00106907,East Midlands
KP3403PD,LOADING/STORAGE/TREATMENT ETC OF CRUDE OIL,Phillips 66 Limited,"Crude Oil terminals Ltd,Tetney Oil Terminal Tetney Lock Road Tetney Grimsby Lincolnshire",DN36 5NX,532830,402210,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0,Refineries & Fuel,Refineries & Fuel,7,1,13,25,,53.49982028,0.00106907,East Midlands
