Source.Name,OPERATOR NAME,Employee 2023,Turnover 2023 ?,Employee 2022,Turnover 2022 ?,Employee 2021,Turnover 2021 ?,Employee 2020,Turnover 2020 ?,Employee 2019,Turnover 2019 ?,Employee 2018,Turnover 2018 ?,Employee 2017,Turnover 2017 ?,Employee 2016,Turnover 2016 ?,Source
Fluoranthene_Company_data_16-23.csv,Phillips 66 Limited,943,6062000000,968,8120000000,976,4515000000,971,2668521000,945,4464000000,977,4515000000,1018,3095696000,1042,2803129000,https://app.endole.co.uk/company/00529086-phillips-66-limited?page=financials
Cypermethrin_Company_data_16-23.csv,Portals De La Rue Ltd (Portals Paper Limited),357,48931000,432,49477000,476,63422000,511,68535000,525,81339000,,,,,,,https://app.endole.co.uk/company/11001841-portals-paper-limited?page=financials
Cypermethrin_Company_data_16-23.csv,PREMIER HANK DYERS LTD,,,,,,,,,18,,22,,25,,0,,https://app.endole.co.uk/company/04313607-premier-hank-dyers-limited?page=financials
Copper_Company_data_16-23.csv,rwe generation uk plc,792,2805000000,790,7943000000,874,4433000000,1000,1177000000,1097,1789000000,1124,1880000000,1074,1780000000,1054,2244000000,https://app.endole.co.uk/company/03892782-rwe-generation-uk-plc?page=financials
Fluoranthene_Company_data_16-23.csv,Sahaviriya Steel Industries UK Limited,,,,,,,,,,,,,,,,,
Cypermethrin_Company_data_16-23.csv,SCA Hygiene Products UK Limited (Essity UK Limited),1355,858766000,1325,897804000,1284,768990000,1271,455400000,1278,762529000,1283,702406000,1310,683808000,1340,710531000,https://app.endole.co.uk/company/03226403-essity-uk-limited?page=financials
Benzo_Company_data_16-23.csv,SEVERN TRENT WATER LTD,6998,1966000000,6803,1809000000,6658,1700000000,6524,1715000000,6305,1673000000,5996,1607000000,5844,1556100000,5236,1550200000,https://app.endole.co.uk/company/02366686-severn-trent-water-limited?page=financials
Benzo_Company_data_16-23.csv,Severn Waste Services Limited,325,43650000,325,40074000,325,36730000,333,33785000,323,35505000,325,32590000,320,31467000,292,37049000,https://app.endole.co.uk/company/03618688-severn-waste-services-limited?page=financials
Cypermethrin_Company_data_16-23.csv,Smurfit Kappa UK Limited (Smurfit Westrock UK Ltd),3945,1033267000,3829,1184992000,3799,857129000,3753,682118000,3695,704238000,3533,647006000,3442,583134000,3334,544775000,https://app.endole.co.uk/company/01017013-smurfit-westrock-uk-ltd?page=financials
Fluoranthene_Company_data_16-23.csv,SOUTH WEST WATER LTD,1886,566400000,1700,584600000,1567,543800000,1452,571600000,1389,582400000,1433,572800000,1427,562500000,1278,506400000,https://app.endole.co.uk/company/02366665-south-west-water-limited?page=financials
Benzo_Company_data_16-23.csv,Southern Water (Southern Water Services Limited),2480,815700000,2216,844500000,2138,819800000,2204,878000000,2327,876300000,2289,829700000,2120,809700000,2119,803700000,https://app.endole.co.uk/company/02366670-southern-water-services-limited?page=financials
Cypermethrin_Company_data_16-23.csv,Standard Wool (UK) Limited,62,31610000,58,34276000,70,26613000,82,50370000,74,49830000,83,48769000,80,15280000,78,18416000,https://app.endole.co.uk/company/00713917-standard-wool-uk-limited?page=financials
Copper_Company_data_16-23.csv,suez recyclying and recover uk ltd,4108,814656000,3967,764754000,4020,713048000,3762,615603000,3201,548206000,2879,476221000,3057,504335000,3147,534884000,https://app.endole.co.uk/company/02291198-suez-recycling-and-recovery-uk-ltd?page=financials
Copper_Company_data_16-23.csv,thames water utilities ltd,7242,2265000000,7082,2177000000,6525,2107000000,6296,2173000000,6063,2084000000,5421,2045000000,4967,2060000000,5057,2040000000,https://app.endole.co.uk/company/02366661-thames-water-utilities-limited?page=financials
Benzo_Company_data_16-23.csv,UNITED UTILITIES WATER PLC (United Utilities Group Plc),5975,1824000000,5728,1863000000,5354,1808000000,5302,1859000000,5267,1819000000,5223,1736000000,5310,1704000000,5265,1730000000,https://app.endole.co.uk/company/06559020-united-utilities-group-plc?page=financials
