AUTHORISATION ID / PERMIT ID,PRIMARY INDUSTRY ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,PNEC (??g/L),Latitude,Longitude,REGION
BJ6780IL,"PAPER, PULP AND BOARD; PRODUCING PAPER/BOARD >20T/D",SOFIDEL UK LIMITED,Leicester Paper Mill Waterside Road,LE5 1TZ,462610,307790,East Midlands,Wastewater,Cypermethrin,0.005,0,Paper and textiles,Paper & Pulp,1.30E-05,52.66422018,-1.075677928,East Midlands
BJ6003IF,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Veolia ES Landfill Ltd,New Albion Landfill Site Occupation Road Albert Village Swadlincote Derbyshire,DE11 8HD,429960,316940,West Midlands,Wastewater,Fluoranthene,0.1,0,Landfill,Non Hazardous Landfill,,52.74925329,-1.557589373,East Midlands
BJ6003IF,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Veolia ES Landfill Ltd,New Albion Landfill Site Occupation Road Albert Village Swadlincote Derbyshire,DE11 8HD,429960,316940,West Midlands,Wastewater,Benzo(a)pyrene,1,0,Landfill,Non Hazardous Landfill,,52.74925329,-1.557589373,East Midlands
AW5NF5179,,Anglian Water,Corby STW,,490600,288900,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0,Water Industry,Water Industry,,52.4905002,-0.667077027,East Midlands
AW5NF5179,,Anglian Water,Corby STW,,490600,288900,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Water Industry,Water Industry,,52.4905002,-0.667077027,East Midlands
AW5NF5179,,Anglian Water,Corby STW,,490600,288900,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,52.4905002,-0.667077027,East Midlands
ANNNF2073,,Anglian Water,Lincoln(Canwick) STW,,499810,370880,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0,Water Industry,Water Industry,,53.22559823,-0.506398278,East Midlands
ANNNF2073,,Anglian Water,Lincoln(Canwick) STW,,499810,370880,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Water Industry,Water Industry,,53.22559823,-0.506398278,East Midlands
ANNNF2073,,Anglian Water,Lincoln(Canwick) STW,,499810,370880,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,53.22559823,-0.506398278,East Midlands
AWNNF13052,,Anglian Water,Great Billing STW,,483280,261550,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,52.24584109,-0.78163915,East Midlands
CNTW.0531,,Anglian Water,TILBURY STW,,565670,175350,East Anglia,Controlled Waters,Fluoranthene,0.1,0.1,Water Industry,Water Industry,,51.45289581,0.382973138,East of England
