AUTHORISATION ID / PERMIT ID,ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,PNEC (??g/L),Latitude,Longitude,REGION
KP3403PD,LOADING/STORAGE/TREATMENT ETC OF CRUDE OIL,Phillips 66 Limited,"Crude Oil terminals Ltd,Tetney Oil Terminal Tetney Lock Road Tetney Grimsby Lincolnshire",DN36 5NX,532830,402210,Lincolnshire and Northamptonshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1,0,Refineries & Fuel,Refineries & Fuel,,53.49982028,0.00106907,East Midlands
KP3403PD,LOADING/STORAGE/TREATMENT ETC OF CRUDE OIL,Phillips 66 Limited,"Crude Oil terminals Ltd,Tetney Oil Terminal Tetney Lock Road Tetney Grimsby Lincolnshire",DN36 5NX,532830,402210,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0,Refineries & Fuel,Refineries & Fuel,,53.49982028,0.00106907,East Midlands
KP3403PD,LOADING/STORAGE/TREATMENT ETC OF CRUDE OIL,Phillips 66 Limited,"Crude Oil terminals Ltd,Tetney Oil Terminal Tetney Lock Road Tetney Grimsby Lincolnshire",DN36 5NX,532830,402210,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1,0,Refineries & Fuel,Refineries & Fuel,,53.49982028,0.00106907,East Midlands
CP3899SD,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING BIOLOGICAL TREATMENT,Environcom England Limited,Spittlegate Level Spittlegate Level Lincolnshire,NG31 7UH,491940,333440,Lincolnshire and Northamptonshire,Wastewater,"Indeno(1,2,3-cd)pyrene",1,0,Metals Recycling,Metals Recycling,,52.89056205,-0.634920759,East Midlands
CP3899SD,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING BIOLOGICAL TREATMENT,Environcom England Limited,Spittlegate Level Spittlegate Level Lincolnshire,NG31 7UH,491940,333440,Lincolnshire and Northamptonshire,Wastewater,Benzo(a)pyrene,1,0,Metals Recycling,Metals Recycling,,52.89056205,-0.634920759,East Midlands
CP3899SD,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING BIOLOGICAL TREATMENT,Environcom England Limited,Spittlegate Level Spittlegate Level Lincolnshire,NG31 7UH,491940,333440,Lincolnshire and Northamptonshire,Wastewater,Cypermethrin,0.005,0,Metals Recycling,Metals Recycling,1.30E-05,52.89056205,-0.634920759,East Midlands
CP3899SD,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING BIOLOGICAL TREATMENT,Environcom England Limited,Spittlegate Level Spittlegate Level Lincolnshire,NG31 7UH,491940,333440,Lincolnshire and Northamptonshire,Wastewater,Fluoranthene,0.1,0,Metals Recycling,Metals Recycling,,52.89056205,-0.634920759,East Midlands
CP3899SD,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING BIOLOGICAL TREATMENT,Environcom England Limited,Spittlegate Level Spittlegate Level Lincolnshire,NG31 7UH,491940,333440,Lincolnshire and Northamptonshire,Wastewater,Heptachlor,0.1,0,Metals Recycling,Metals Recycling,,52.89056205,-0.634920759,East Midlands
AWNNF13399,,Anglian Water,Broadholme STW,,494150,268750,Lincolnshire and Northamptonshire,Controlled Waters,Benzo(a)pyrene,1,0,Water Industry,Water Industry,,52.3088025,-0.620468401,East Midlands
BW0991IX,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",VIRIDOR WASTE MANAGEMENT LTD,Erin Landfill MARKHAM LANE DUCKMANTON DERBYSHIRE,S44 5HS,444900,373000,Yorkshire,Wastewater,Benzo(a)pyrene,1,0,Landfill,Non Hazardous Landfill,,53.2521202,-1.328500562,East Midlands
BW0991IX,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",VIRIDOR WASTE MANAGEMENT LTD,Erin Landfill MARKHAM LANE DUCKMANTON DERBYSHIRE,S44 5HS,444900,373000,Yorkshire,Wastewater,Fluoranthene,0.1,0,Landfill,Non Hazardous Landfill,,53.2521202,-1.328500562,East Midlands
