AUTHORISATION ID / PERMIT ID,PRIMARY INDUSTRY ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,PNEC (µg/L)
017280252,,UNITED UTILITIES WATER PLC,Fleetwood Wwtw Jameson Road Fleetwood Lancashire,FY7 8TW,333090,446180,Cumbria and Lancashire,Controlled Waters,Benzo(a)pyrene,1.0,1.54,Water Industry,Water Industry,
CLCR.0048,,THAMES WATER UTILITIES LTD,Rye Meads Combined Heat And Power Plant Off Rye Road Stanstead Abbotts Hertfordshire,SG12 8JY,539260,210400,Hertfordshire and North London,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.55,Water Industry,Water Industry,
WACT/257,,Southern Water,Budds Farm STW,PO9 1JW,470800,105570,Solent and South Downs,Controlled Waters,Benzo(a)pyrene,1.0,1.56,Water Industry,Water Industry,
016950041,,UNITED UTILITIES WATER PLC,ROCHDALE,,388160,412370,Greater Manchester Merseyside and Cheshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.58,Water Industry,Water Industry,
CNTD.0085,,THAMES WATER UTILITIES LTD,MOGDEN STW,TW7 7LP,516800,175900,Hertfordshire and North London,Controlled Waters,Fluoranthene,0.1,1.6,Water Industry,Water Industry,
T/48/12074/R,,SEVERN TRENT WATER LTD,Derby Sewage Treatment Works Chp Plant Megaloughton Lane Spondon Derby Derbyshire,DE21 7BR,438830,343470,East Midlands,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.66,Water Industry,Water Industry,
254/1920,,NORTHUMBRIAN WATER LTD,Wilton Teraphalic Plant Tees Dock Road Middlesbrough Redcar and Cleveland,TS6 6UE,457300,521270,North East,Controlled Waters,Benzo(a)pyrene,1.0,1.66,Water Industry,Water Industry,
CSSA.0362,,THAMES WATER UTILITIES LTD,Crossness Sewage Treatment Works Belvedere Road London Greater London,SE2 9AQ,549100,180670,"Kent, South London and East Sussex",Controlled Waters,Fluoranthene,0.1,1.68,Water Industry,Water Industry,
CSSV.0382,,THAMES WATER UTILITIES LTD,BEDDINGTON STW,CR0 4TH,529520,166318,"Kent, South London and East Sussex",Controlled Waters,Benzo(a)pyrene,1.0,1.72,Water Industry,Water Industry,
JP3638HM,"FERROUS METALS; PRODUCING, MELTING OR REFINING",Sahaviriya Steel Industries UK Limited,Teeside Integrated Iron and Steelworks Steel House Redcar Teesside Cleveland,TS10 5QW,457690,524150,North East,Controlled Waters,Fluoranthene,0.1,1.78,Metals,Ferrous,
T/01/21819/R,,SEVERN TRENT WATER LTD,Strongford Sewage Treatment Works Barlaston Old Road Barlaston Stoke On Trent Staffordshire,ST12 9EX,387930,339120,West Midlands,Controlled Waters,Benzo(a)pyrene,1.0,1.83,Water Industry,Water Industry,
017081316,,UNITED UTILITIES WATER PLC,WIGAN,,348170,412020,Greater Manchester Merseyside and Cheshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.84,Water Industry,Water Industry,
016950032,,UNITED UTILITIES WATER PLC,BOLTON,,376950,404520,Greater Manchester Merseyside and Cheshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.93,Water Industry,Water Industry,
017160064,,UNITED UTILITIES WATER PLC,PRESTON,,345450,427850,Cumbria and Lancashire,Controlled Waters,Benzo(a)pyrene,1.0,1.95,Water Industry,Water Industry,
CSSA.0364,,THAMES WATER UTILITIES LTD,RIVERSIDE STW,RM13 8RL,551500,181900,Hertfordshire and North London,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.97,Water Industry,Water Industry,
CNTD.0071,,THAMES WATER UTILITIES LTD,MAPLE LODGE STW,WD3 9SQ,504200,192000,Hertfordshire and North London,Controlled Waters,Benzo(a)pyrene,1.0,1.97,Water Industry,Water Industry,
017280252,,UNITED UTILITIES WATER PLC,Fleetwood Wwtw Jameson Road Fleetwood Lancashire,FY7 8TW,333090,446180,Cumbria and Lancashire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,1.99,Water Industry,Water Industry,
WACT/257,,Southern Water,Budds Farm STW,PO9 1JW,470800,105570,Solent and South Downs,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,2.02,Water Industry,Water Industry,
S/11/25151/R,,SEVERN TRENT WATER LTD,Coventry (Finham) STW,CV3 6SD,433600,273700,West Midlands,Controlled Waters,Benzo(a)pyrene,1.0,2.03,Water Industry,Water Industry,
254/1920,,NORTHUMBRIAN WATER LTD,Wilton Teraphalic Plant Tees Dock Road Middlesbrough Redcar and Cleveland,TS6 6UE,457300,521270,North East,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,2.15,Water Industry,Water Industry,
T/10/35431/R,,SEVERN TRENT WATER LTD,Minworth Final ASP Effluent,B76 9BE,417150,291950,West Midlands,Controlled Waters,Fluoranthene,0.1,2.19,Water Industry,Water Industry,
CSSV.0382,,THAMES WATER UTILITIES LTD,BEDDINGTON STW,CR0 4TH,529520,166318,"Kent, South London and East Sussex",Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,2.23,Water Industry,Water Industry,
T/64/45170/R,,SEVERN TRENT WATER LTD,Stoke Bardolph STW Nottingham,NG14 5HL,464730,342220,East Midlands,Controlled Waters,Benzo(a)pyrene,1.0,2.28,Water Industry,Water Industry,
T/53/45014/R,,SEVERN TRENT WATER LTD,Wanlip Sewage Treatment Works Fillingate Wanlip Leicester Leicestershire,LE7 4PF,459760,311500,East Midlands,Controlled Waters,Benzo(a)pyrene,1.0,2.34,Water Industry,Water Industry,
T/01/21819/R,,SEVERN TRENT WATER LTD,Strongford Sewage Treatment Works Barlaston Old Road Barlaston Stoke On Trent Staffordshire,ST12 9EX,387930,339120,West Midlands,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,2.37,Water Industry,Water Industry,
017160064,,UNITED UTILITIES WATER PLC,PRESTON,,345450,427850,Cumbria and Lancashire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,2.53,Water Industry,Water Industry,
ZP3933LD,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Severn Waste Services Limited,"Hill and Moor Landfill Site Piddle Brook Lane Wyre Piddle,Pershore Worcester Worcestershire",WR10 2LW,396900,248400,West Midlands,Wastewater,Fluoranthene,0.1,2.5473,Landfill,Non Hazardous Landfill,
ZP3933LD,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Severn Waste Services Limited,"Hill and Moor Landfill Site Piddle Brook Lane Wyre Piddle,Pershore Worcester Worcestershire",WR10 2LW,396900,248400,West Midlands,Wastewater,"Indeno(1,2,3-cd)pyrene",1.0,2.5473,Landfill,Non Hazardous Landfill,
ZP3933LD,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Severn Waste Services Limited,"Hill and Moor Landfill Site Piddle Brook Lane Wyre Piddle,Pershore Worcester Worcestershire",WR10 2LW,396900,248400,West Midlands,Wastewater,Benzo(a)pyrene,1.0,2.5473,Landfill,Non Hazardous Landfill,
CNTD.0071,,THAMES WATER UTILITIES LTD,MAPLE LODGE STW,WD3 9SQ,504200,192000,Hertfordshire and North London,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,2.55,Water Industry,Water Industry,
S/11/25151/R,,SEVERN TRENT WATER LTD,Coventry (Finham) STW,CV3 6SD,433600,273700,West Midlands,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,2.63,Water Industry,Water Industry,
CNTD.0067,,THAMES WATER UTILITIES LTD,LONG REACH STW,DA1 5PP,555600,176700,"Kent, South London and East Sussex",Controlled Waters,Benzo(a)pyrene,1.0,2.79,Water Industry,Water Industry,
100311,,Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,353250,179400,Wessex,Controlled Waters,Benzo(a)pyrene,1.0,2.85,Water Industry,Water Industry,
T/64/45170/R,,SEVERN TRENT WATER LTD,Stoke Bardolph STW Nottingham,NG14 5HL,464730,342220,East Midlands,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,2.96,Water Industry,Water Industry,
T/53/45014/R,,SEVERN TRENT WATER LTD,Wanlip Sewage Treatment Works Fillingate Wanlip Leicester Leicestershire,LE7 4PF,459760,311500,East Midlands,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,3.03,Water Industry,Water Industry,
0166993397,,UNITED UTILITIES WATER PLC,Liverpool Waste Water Treatment Sandon Dock Regent Road Liverpool Merseyside,L3 0BE,333730,392800,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1.0,3.44,Water Industry,Water Industry,
CNTD.0067,,THAMES WATER UTILITIES LTD,LONG REACH STW,DA1 5PP,555600,176700,"Kent, South London and East Sussex",Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,3.61,Water Industry,Water Industry,
100311,,Wessex Water,BRISTOL (AVONMOUTH) STW,BS11 9AA,353250,179400,Wessex,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,3.69,Water Industry,Water Industry,
235/1695,,NORTHUMBRIAN WATER LTD,Howdon Sewage Treatment Works Northumberland Dock Road Wallsend Tyne And Wear,NE28 0QD,433340,566290,North East,Controlled Waters,Benzo(a)pyrene,1.0,3.76,Water Industry,Water Industry,
CSSA.0360,,THAMES WATER UTILITIES LTD,BECKTON STW,IG11 0AD,545470,181670,Hertfordshire and North London,Controlled Waters,Fluoranthene,0.1,3.86,Water Industry,Water Industry,
CNTD.0072,,THAMES WATER UTILITIES LTD,DEEPHAMS STW,N9 0BA,535660,193170,Hertfordshire and North London,Controlled Waters,Benzo(a)pyrene,1.0,3.97,Water Industry,Water Industry,
E15,,Yorkshire Water Services Limited,Mitchell Laithes WwTW CHP Plant Long Lane Dewsbury West Yorkshire,WF12 8LL,426030,419980,Yorkshire,Controlled Waters,Cypermethrin,0.005,4.09,Water Industry,Water Industry,1.3e-05
016940143,,UNITED UTILITIES WATER PLC,DAVYHULME,,374800,396460,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1.0,4.39,Water Industry,Water Industry,
HP3736AW,"FERROUS METALS; HANDLING ETC >500,000 TONNES/12 MONTHS",Longs Steel UK Limited,Scunthorpe Integrated Iron And Steel Works Brigg Road Scunthorpe North Lincolnshire,DN16 1AU,491460,410290,East Midlands,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,4.4,Metals,Ferrous,
0166993397,,UNITED UTILITIES WATER PLC,Liverpool Waste Water Treatment Sandon Dock Regent Road Liverpool Merseyside,L3 0BE,333730,392800,Greater Manchester Merseyside and Cheshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,4.45,Water Industry,Water Industry,
BR4705IR,"COATING, PRINTING AND TEXTILES; PRE-TREATING BY WASHING ETC >10T/DAY",Standard Wool (UK) Limited,Eastfield Mills Dewsbury West Yorkshire,WF12 8EH,424900,421400,Yorkshire,Wastewater,Cypermethrin,0.005,4.57872,Paper and textiles,Textiles,1.3e-05
235/1695,,NORTHUMBRIAN WATER LTD,Howdon Sewage Treatment Works Northumberland Dock Road Wallsend Tyne And Wear,NE28 0QD,433340,566290,North East,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,4.86,Water Industry,Water Industry,
CNTD.0072,,THAMES WATER UTILITIES LTD,DEEPHAMS STW,N9 0BA,535660,193170,Hertfordshire and North London,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,5.14,Water Industry,Water Industry,
016940143,,UNITED UTILITIES WATER PLC,DAVYHULME,,374800,396460,Greater Manchester Merseyside and Cheshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,5.68,Water Industry,Water Industry,
HP3736AW,"FERROUS METALS; HANDLING ETC >500,000 TONNES/12 MONTHS",Longs Steel UK Limited,Scunthorpe Integrated Iron And Steel Works Brigg Road Scunthorpe North Lincolnshire,DN16 1AU,491460,410290,East Midlands,Controlled Waters,Benzo(a)pyrene,1.0,5.8,Metals,Ferrous,
CNTD.0085,,THAMES WATER UTILITIES LTD,MOGDEN STW,TW7 7LP,516800,175900,Hertfordshire and North London,Controlled Waters,Benzo(a)pyrene,1.0,7.05,Water Industry,Water Industry,
CSSA.0362,,THAMES WATER UTILITIES LTD,Crossness Sewage Treatment Works Belvedere Road London Greater London,SE2 9AQ,549100,180670,"Kent, South London and East Sussex",Controlled Waters,Benzo(a)pyrene,1.0,7.38,Water Industry,Water Industry,
CNTD.0085,,THAMES WATER UTILITIES LTD,MOGDEN STW,TW7 7LP,516800,175900,Hertfordshire and North London,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,9.12,Water Industry,Water Industry,
BR6996IC,REFINING MINERAL OILS,Esso Petroleum Company Ltd,Fawley Refinery Esso Refinery Southampton Hampshire,SO45 1TX,445500,104300,Solent and South Downs,Controlled Waters,Benzo(a)pyrene,1.0,9.24,Refineries & Fuel,Refineries & Fuel,
CSSA.0362,,THAMES WATER UTILITIES LTD,Crossness Sewage Treatment Works Belvedere Road London Greater London,SE2 9AQ,549100,180670,"Kent, South London and East Sussex",Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,9.55,Water Industry,Water Industry,
T/10/35431/R,,SEVERN TRENT WATER LTD,Minworth Final ASP Effluent,B76 9BE,417150,291950,West Midlands,Controlled Waters,Benzo(a)pyrene,1.0,9.63,Water Industry,Water Industry,
T/10/35431/R,,SEVERN TRENT WATER LTD,Minworth Final ASP Effluent,B76 9BE,417150,291950,West Midlands,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,12.5,Water Industry,Water Industry,
CSSA.0360,,THAMES WATER UTILITIES LTD,BECKTON STW,IG11 0AD,545470,181670,Hertfordshire and North London,Controlled Waters,Benzo(a)pyrene,1.0,17.0,Water Industry,Water Industry,
BR6996IC,REFINING MINERAL OILS,Esso Petroleum Company Ltd,Fawley Refinery Esso Refinery Southampton Hampshire,SO45 1TX,445500,104300,Solent and South Downs,Controlled Waters,Fluoranthene,0.1,20.21,Refineries & Fuel,Refineries & Fuel,
CSSA.0360,,THAMES WATER UTILITIES LTD,BECKTON STW,IG11 0AD,545470,181670,Hertfordshire and North London,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,22.0,Water Industry,Water Industry,
255/1144,,NORTHUMBRIAN WATER LTD,HENDON STW,SR1 2ES,441049,555891,North East,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,
A.787/S/CH/97,,Southern Water,Ford (Bognor/Littlehampton) STW,BN18 0HY,499490,103030,Solent and South Downs,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Water Industry,Water Industry,
A.787/S/CH/97,,Southern Water,Ford (Bognor/Littlehampton) STW,BN18 0HY,499490,103030,Solent and South Downs,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,
A1106/S/P/99,,Southern Water,Langley Point STW - Eastbourne,BN21 1SA,564120,100950,Solent and South Downs,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Water Industry,Water Industry,
A1106/S/P/99,,Southern Water,Langley Point STW - Eastbourne,BN21 1SA,564120,100950,Solent and South Downs,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,
CTCR.2079,,THAMES WATER UTILITIES LTD,WARGRAVE STW,RG10 8DJ,477900,177600,Thames,Controlled Waters,Fluoranthene,0.1,0.0,Water Industry,Water Industry,
CTCR.2079,,THAMES WATER UTILITIES LTD,WARGRAVE STW,RG10 8DJ,477900,177600,Thames,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Water Industry,Water Industry,
CTCR.2079,,THAMES WATER UTILITIES LTD,WARGRAVE STW,RG10 8DJ,477900,177600,Thames,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,
DP3439AZ,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Norfolk County Council,Edgefield Landfill Site Holt Road Off B1149 Holt Norfolk,NR24 2RS,608380,335550,East Anglia,Wastewater,Fluoranthene,0.1,0.0,Landfill,Non Hazardous Landfill,
MP3734SC,OTHER WASTE DISPOSAL; WASTE OILS >10 T/D,Oil Salvage Limited,Bootle Oil Recovery Lyster Road Bootle Merseyside,L20 1AS,333440,395410,Greater Manchester Merseyside and Cheshire,Wastewater,Benzo(a)pyrene,1.0,0.0,Waste treatment,Hazardous,
CP3731LZ,DISPOSAL OF > 50 T/D NON-HAZARDOUS WASTE (> 100 T/D IF ONLY AD) INVOLVING BIOLOGICAL TREATMENT,Plymouth City Council,Chelson Meadow Leachate Treatment Plant The Ride Plymouth Devon,PL9 7JA,250580,54460,"Devon, Cornwall and the Isles of Scilly",Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Landfill,other,
CP3731LZ,DISPOSAL OF > 50 T/D NON-HAZARDOUS WASTE (> 100 T/D IF ONLY AD) INVOLVING BIOLOGICAL TREATMENT,Plymouth City Council,Chelson Meadow Leachate Treatment Plant The Ride Plymouth Devon,PL9 7JA,250580,54460,"Devon, Cornwall and the Isles of Scilly",Controlled Waters,Fluoranthene,0.1,0.0,Landfill,other,
CP3731LZ,DISPOSAL OF > 50 T/D NON-HAZARDOUS WASTE (> 100 T/D IF ONLY AD) INVOLVING BIOLOGICAL TREATMENT,Plymouth City Council,Chelson Meadow Leachate Treatment Plant The Ride Plymouth Devon,PL9 7JA,250580,54460,"Devon, Cornwall and the Isles of Scilly",Controlled Waters,Benzo(a)pyrene,1.0,0.0,Landfill,other,
YP3834HE,"PAPER, PULP AND BOARD; PRODUCING PAPER/BOARD >20T/D",Arjowiggins Chartham Ltd,Chartham Paper Mill Station Road Chartham Kent,CT4 7JA,610770,155020,"Kent, South London and East Sussex",Controlled Waters,Cypermethrin,0.005,0.0,Paper and textiles,Paper & Pulp,1.3e-05
GP3134HG,"COATING, PRINTING AND TEXTILES; PRE-TREATING BY WASHING ETC >10T/DAY",Westex (Carpets) Limited,Calder Bank Mills Calder Bank Road Dewsbury West Yorkshire,WF12 9QW,423910,421140,Yorkshire,Wastewater,Cypermethrin,0.005,0.0,Paper and textiles,Textiles,1.3e-05
EP3936GP,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Veolia ES Landfill Limited,Pitsea Landfill Pitsea Hall Lane Pitsea Essex,SS16 4UH,573800,187100,East Anglia,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Landfill,Non Hazardous Landfill,
NP3736GU,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Veolia ES Landfill Limited,Ockendon Landfill Medebridge Road Grays Essex,RM16 5TZ,561510,182470,East Anglia,Wastewater,Fluoranthene,0.1,0.0,Landfill,Non Hazardous Landfill,
NP3736GU,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Veolia ES Landfill Limited,Ockendon Landfill Medebridge Road Grays Essex,RM16 5TZ,561510,182470,East Anglia,Wastewater,Benzo(a)pyrene,1.0,0.0,Landfill,Non Hazardous Landfill,
FP3132UE,"PAPER, PULP AND BOARD; PRODUCING PULP FROM TIMBER ETC",Palm Paper Limited,Saddlebow Paper Mill Poplar Avenue Kings Lynn Norfolk,PE34 3AL,561200,317800,East Anglia,Controlled Waters,Cypermethrin,0.005,0.0,Paper and textiles,Paper & Pulp,1.3e-05
PP3532MB,OTHER WASTE DISPOSAL; NON-HAZARDOUS WASTE >50T/D BY PHYSICO-CHEMICAL TREATMENT,Landfill Management Limited,Amberswood Leachate Treatment Plant Amberswood Common Hindley Lancashire,WN2 3DA,361300,404870,Greater Manchester Merseyside and Cheshire,Wastewater,Heptachlor,0.1,0.0,Landfill,other,
UP3639LY,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",3C Waste Limited,Danes Moss Landfill Site Gawsworth Macclesfield Cheshire,SK11 9QP,390500,371500,Greater Manchester Merseyside and Cheshire,Wastewater,Fluoranthene,0.1,0.0,Landfill,Non Hazardous Landfill,
UP3639LY,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",3C Waste Limited,Danes Moss Landfill Site Gawsworth Macclesfield Cheshire,SK11 9QP,390500,371500,Greater Manchester Merseyside and Cheshire,Wastewater,Heptachlor,0.1,0.0,Landfill,Non Hazardous Landfill,
UP3639LY,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",3C Waste Limited,Danes Moss Landfill Site Gawsworth Macclesfield Cheshire,SK11 9QP,390500,371500,Greater Manchester Merseyside and Cheshire,Wastewater,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Landfill,Non Hazardous Landfill,
UP3639LY,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",3C Waste Limited,Danes Moss Landfill Site Gawsworth Macclesfield Cheshire,SK11 9QP,390500,371500,Greater Manchester Merseyside and Cheshire,Wastewater,Benzo(a)pyrene,1.0,0.0,Landfill,Non Hazardous Landfill,
UP3639LY,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",3C Waste Limited,Danes Moss Landfill Site Gawsworth Macclesfield Cheshire,SK11 9QP,390500,371500,Greater Manchester Merseyside and Cheshire,Wastewater,Cypermethrin,0.005,0.0,Landfill,Non Hazardous Landfill,1.3e-05
DP3333KT,"WASTE LANDFILLING; >10 T/D WITH CAPACITY >25,000T EXCLUDING INERT WASTE",Saint Gobain Construction Products UK Limited,Kirkby Thore Works Kirkby Thore Penrith,CA10 1XU,336450,552670,Cumbria and Lancashire,Controlled Waters,Fluoranthene,0.1,0.0,Landfill,Non Hazardous Landfill,
XP3036NK,"PAPER, PULP AND BOARD; PRODUCING PAPER/BOARD >20T/D",SCA Hygiene Products UK Limited,"SCA,Chesterfield Paper Mill Goyt Side Road Derbyshire",S40 2PH,436850,370600,Yorkshire,Wastewater,Cypermethrin,0.005,0.0,Paper and textiles,Paper & Pulp,1.3e-05
SP3538LE,DISPOSAL OF > 50 T/D NON-HAZARDOUS WASTE (> 100 T/D IF ONLY AD) INVOLVING BIOLOGICAL TREATMENT,Veolia ES Hampshire Limited,Efford Landfill Leachate Treatment Plant Milford Road Lower Pennington Hampshire,SO41 8DF,431230,93150,Solent and South Downs,Wastewater,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Landfill,other,
SP3538LE,DISPOSAL OF > 50 T/D NON-HAZARDOUS WASTE (> 100 T/D IF ONLY AD) INVOLVING BIOLOGICAL TREATMENT,Veolia ES Hampshire Limited,Efford Landfill Leachate Treatment Plant Milford Road Lower Pennington Hampshire,SO41 8DF,431230,93150,Solent and South Downs,Wastewater,Benzo(a)pyrene,1.0,0.0,Landfill,other,
SP3538LE,DISPOSAL OF > 50 T/D NON-HAZARDOUS WASTE (> 100 T/D IF ONLY AD) INVOLVING BIOLOGICAL TREATMENT,Veolia ES Hampshire Limited,Efford Landfill Leachate Treatment Plant Milford Road Lower Pennington Hampshire,SO41 8DF,431230,93150,Solent and South Downs,Wastewater,Fluoranthene,0.1,0.0,Landfill,other,
SP3538LE,DISPOSAL OF > 50 T/D NON-HAZARDOUS WASTE (> 100 T/D IF ONLY AD) INVOLVING BIOLOGICAL TREATMENT,Veolia ES Hampshire Limited,Efford Landfill Leachate Treatment Plant Milford Road Lower Pennington Hampshire,SO41 8DF,431230,93150,Solent and South Downs,Wastewater,Heptachlor,0.1,0.0,Landfill,other,
016950038,,UNITED UTILITIES WATER PLC,OLDHAM,,389260,404300,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,
016940151,,UNITED UTILITIES WATER PLC,STOCKPORT,,386520,389820,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,
COPA/5571,,Southern Water,"Eastleigh STW, Chickenhall Lane, Eastleigh",SO50 6RQ,446530,118170,Solent and South Downs,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Water Industry,Water Industry,
COPA/5571,,Southern Water,"Eastleigh STW, Chickenhall Lane, Eastleigh",SO50 6RQ,446530,118170,Solent and South Downs,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,
COPA/5571,,Southern Water,"Eastleigh STW, Chickenhall Lane, Eastleigh",SO50 6RQ,446530,118170,Solent and South Downs,Controlled Waters,Fluoranthene,0.1,0.0,Water Industry,Water Industry,
BS3590IE,ORGANIC CHEMICALS; HYDROCARBONS EG AROMATICS,Sabic UK Petrochemicals Limited,Wilton Olefins Installation Olefins Offices,TS10 4RF,458200,521200,North East,Controlled Waters,Fluoranthene,0.1,0.0,Chemicals,Chemicals,
UP3330ZF,REFINING MINERAL OILS,Morzine Limited,Thames Oilport The Manorway Thurrock,SS17 9LL,575260,182580,East Anglia,Controlled Waters,Fluoranthene,0.1,0.0,Refineries & Fuel,Refineries & Fuel,
UP3330ZF,REFINING MINERAL OILS,Morzine Limited,Thames Oilport The Manorway Thurrock,SS17 9LL,575260,182580,East Anglia,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Refineries & Fuel,Refineries & Fuel,
CNTD.0058,,THAMES WATER UTILITIES LTD,LITTLE MARLOW STW,SL7 3RT,487800,187000,Thames,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,
017160008,,UNITED UTILITIES WATER PLC,HYNDBURN,,375750,433550,Cumbria and Lancashire,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,
CTCR.0709,,THAMES WATER UTILITIES LTD,OXFORD STW,OX4 4YU,454200,202200,Thames,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,
016983122,,UNITED UTILITIES WATER PLC,WARRINGTON NORTH,,358110,386960,Greater Manchester Merseyside and Cheshire,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Water Industry,Water Industry,
016983122,,UNITED UTILITIES WATER PLC,WARRINGTON NORTH,,358110,386960,Greater Manchester Merseyside and Cheshire,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,
S/04/55141/R,,SEVERN TRENT WATER LTD,Rushmoor (Telford) STW,TF6 5EX,361300,313700,West Midlands,Controlled Waters,Fluoranthene,0.1,0.0,Water Industry,Water Industry,
S/04/55141/R,,SEVERN TRENT WATER LTD,Rushmoor (Telford) STW,TF6 5EX,361300,313700,West Midlands,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Water Industry,Water Industry,
S/04/55141/R,,SEVERN TRENT WATER LTD,Rushmoor (Telford) STW,TF6 5EX,361300,313700,West Midlands,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,
CSSC.0315,,THAMES WATER UTILITIES LTD,AYLESBURY STW,HP19 3RT,478900,214800,Thames,Controlled Waters,Fluoranthene,0.1,0.0,Water Industry,Water Industry,
CSSC.0315,,THAMES WATER UTILITIES LTD,AYLESBURY STW,HP19 3RT,478900,214800,Thames,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Water Industry,Water Industry,
CSSC.0315,,THAMES WATER UTILITIES LTD,AYLESBURY STW,HP19 3RT,478900,214800,Thames,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Water Industry,Water Industry,
