AUTHORISATION ID / PERMIT ID,PRIMARY INDUSTRY ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,PNEC (µg/L)
AWNNF13399,,Anglian Water,Broadholme STW,,494150,268750,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0.13,Water Industry,Water Industry,
A726/IOW/97,,Southern Water,Sandown STW (Ventnor/Bembridge),PO36 8DE,460270,85220,Solent and South Downs,Controlled Waters,Fluoranthene,0.1,0.13,Water Industry,Water Industry,
001229,,SOUTH WEST WATER LTD,EXETER STW (Countess Wear),EX2 7AA,294800,89000,"Devon, Cornwall and the Isles of Scilly",Controlled Waters,Fluoranthene,0.1,0.13,Water Industry,Water Industry,
COPA/5586,,Southern Water,Millbrook STW,SO15 0HH,438850,112600,Solent and South Downs,Controlled Waters,Fluoranthene,0.1,0.13,Water Industry,Water Industry,
T/24/35514/R,,SEVERN TRENT WATER LTD,Claymills Chp Plant Meadow Lane Clay Mills Nr Burton Staffordshire,DE13 0DB,426270,325780,West Midlands,Controlled Waters,Fluoranthene,0.1,0.13,Water Industry,Water Industry,
ASCNF1033,,Anglian Water,Cambridge STW,,548350,261540,East Anglia,Controlled Waters,Fluoranthene,0.1,0.14,Water Industry,Water Industry,
043091,,Wessex Water,POOLE STW,BH17 7BX,400700,93580,Wessex,Controlled Waters,Fluoranthene,0.1,0.14,Water Industry,Water Industry,
040415,,Wessex Water,BOURNEMOUTH (Holdenhurst) STW,BH7 7ES,413300,95230,Wessex,Controlled Waters,Fluoranthene,0.1,0.14,Water Industry,Water Industry,
CNTD.0084,,THAMES WATER UTILITIES LTD,LUTON STW,LU1 5TS,512300,217800,Hertfordshire and North London,Controlled Waters,Fluoranthene,0.1,0.14,Water Industry,Water Industry,
AW3TS519,,Anglian Water,Pyewipe (Grimsby) STW,,528280,413140,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0.14,Water Industry,Water Industry,
200976,,SOUTH WEST WATER LTD,Brokenbury STW (TORBAY),TQ5 0LL,289750,56310,"Devon, Cornwall and the Isles of Scilly",Controlled Waters,Fluoranthene,0.1,0.15,Water Industry,Water Industry,
S/06/55227/R,,SEVERN TRENT WATER LTD,Barnhurst STW,WV95HN,390000,301650,West Midlands,Controlled Waters,Fluoranthene,0.1,0.15,Water Industry,Water Industry,
CNTD.0017,,THAMES WATER UTILITIES LTD,SWINDON STW,SN2 2DP,412700,185800,Thames,Controlled Waters,Fluoranthene,0.1,0.16,Water Industry,Water Industry,
017160005,,UNITED UTILITIES WATER PLC,BURNLEY,,382550,435270,Cumbria and Lancashire,Controlled Waters,Fluoranthene,0.1,0.16,Water Industry,Water Industry,
016940151,,UNITED UTILITIES WATER PLC,STOCKPORT,,386520,389820,Greater Manchester Merseyside and Cheshire,Controlled Waters,Fluoranthene,0.1,0.18,Water Industry,Water Industry,
CTCR.0709,,THAMES WATER UTILITIES LTD,OXFORD STW,OX4 4YU,454200,202200,Thames,Controlled Waters,Fluoranthene,0.1,0.18,Water Industry,Water Industry,
AW5NF5178,,Anglian Water,Flag Fen STW,,522140,298140,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0.18,Water Industry,Water Industry,
S/20/21356/R,,SEVERN TRENT WATER LTD,Netheridge CHP Plant Hempsted Lane Hempsted Gloucestershire,GL2 5LF,381110,215700,West Midlands,Controlled Waters,Fluoranthene,0.1,0.18,Water Industry,Water Industry,
016993399,,UNITED UTILITIES WATER PLC,BIRKENHEAD,,332800,389400,Greater Manchester Merseyside and Cheshire,Controlled Waters,Fluoranthene,0.1,0.18,Water Industry,Water Industry,
255/1144,,NORTHUMBRIAN WATER LTD,HENDON STW,SR1 2ES,441049,555891,North East,Controlled Waters,Fluoranthene,0.1,0.19,Water Industry,Water Industry,
016950038,,UNITED UTILITIES WATER PLC,OLDHAM,,389260,404300,Greater Manchester Merseyside and Cheshire,Controlled Waters,Fluoranthene,0.1,0.19,Water Industry,Water Industry,
CNTD.0058,,THAMES WATER UTILITIES LTD,LITTLE MARLOW STW,SL7 3RT,487800,187000,Thames,Controlled Waters,Fluoranthene,0.1,0.19,Water Industry,Water Industry,
AWCNF10296,,Anglian Water,Cotton Valley STW,,488630,241460,East Anglia,Controlled Waters,Fluoranthene,0.1,0.19,Water Industry,Water Industry,
CAWM.0942,,THAMES WATER UTILITIES LTD,READING STW,RG2 0RP,471100,170800,Thames,Controlled Waters,Fluoranthene,0.1,0.2,Water Industry,Water Industry,
016930112,,UNITED UTILITIES WATER PLC,FAZAKERLEY,,339370,396600,Greater Manchester Merseyside and Cheshire,Controlled Waters,Fluoranthene,0.1,0.2,Water Industry,Water Industry,
CNTM.2237,,THAMES WATER UTILITIES LTD,SLOUGH STW,SL1 9EB,494100,179200,Thames,Controlled Waters,Fluoranthene,0.1,0.21,Water Industry,Water Industry,
A74/S/87,,Southern Water,Portobello STW (Brighton),BN10 7BD,539300,101460,Solent and South Downs,Controlled Waters,Fluoranthene,0.1,0.21,Water Industry,Water Industry,
AW4TF1789,,Anglian Water,Whitlingham(Norwich) STW,,627800,307700,East Anglia,Controlled Waters,Fluoranthene,0.1,0.21,Water Industry,Water Industry,
016920130,,UNITED UTILITIES WATER PLC,ST HELENS,,353820,395900,Greater Manchester Merseyside and Cheshire,Controlled Waters,Fluoranthene,0.1,0.22,Water Industry,Water Industry,
T/12/35338/R,,SEVERN TRENT WATER LTD,Coleshill STW,B46 1NX,419000,291000,West Midlands,Controlled Waters,Fluoranthene,0.1,0.22,Water Industry,Water Industry,
AWNNF13052,,Anglian Water,Great Billing STW,,483280,261550,Lincolnshire and Northamptonshire,Controlled Waters,Fluoranthene,0.1,0.22,Water Industry,Water Industry,
