AUTHORISATION ID / PERMIT ID,ACTIVITY DESCRIPTION,OPERATOR NAME,SITE ADDRESS,SITE POSTCODE,EASTING,NORTHING,EA AREA NAME,ROUTE NAME,SUBSTANCE NAME,REPORTING THRESHOLD (kg),QUANTITY RELEASED (kg),REGULATED INDUSTRY SECTOR,REGULATED INDUSTRY SUB SECTOR,EA AREA NAME LABEL,ROUTE NAME LABEL,REGULATED INDUSTRY SECTOR LABEL,REGULATED INDUSTRY SUB SECTOR LABEL,PNEC (µg/L),Latitude,Longitude,REGION
UP3937FW,Animal vegetable and food treating etc vegetable,Cawingredients Limited,Caw House Conygarth Way Leeming Bar Business Park Leeming Bar North Yorkshire,DL7 9FD,428230.0,490060.0,Yorkshire,Controlled Waters,Heptachlor,0.1,0.0,Food & Drink,Food & Drink,13,1,6,7,,54.305369215400624,-1.567666100663004,Yorkshire and The Humber
UP3937FW,Animal vegetable and food treating etc vegetable,Cawingredients Limited,Caw House Conygarth Way Leeming Bar Business Park Leeming Bar North Yorkshire,DL7 9FD,428230.0,490060.0,Yorkshire,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Food & Drink,Food & Drink,13,1,6,7,,54.305369215400624,-1.567666100663004,Yorkshire and The Humber
BN2832IK,Animal vegetable and food treating etc vegetable,Britvic Soft Drinks Plc,Beckton Soft Drinks Factory 9 Roding Road London Industrial Estate London,E6 6LF,,,Hertfordshire and North London,Wastewater,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Food & Drink,Food & Drink,5,3,6,7,,inf,inf,
BN2832IK,Animal vegetable and food treating etc vegetable,Britvic Soft Drinks Plc,Beckton Soft Drinks Factory 9 Roding Road London Industrial Estate London,E6 6LF,,,Hertfordshire and North London,Wastewater,Benzo(a)pyrene,1.0,0.0,Food & Drink,Food & Drink,5,3,6,7,,inf,inf,
BN2832IK,Animal vegetable and food treating etc vegetable,Britvic Soft Drinks Plc,Beckton Soft Drinks Factory 9 Roding Road London Industrial Estate London,E6 6LF,,,Hertfordshire and North London,Wastewater,Cypermethrin,0.005,0.0,Food & Drink,Food & Drink,5,3,6,7,1.3e-05,inf,inf,
BN2832IK,Animal vegetable and food treating etc vegetable,Britvic Soft Drinks Plc,Beckton Soft Drinks Factory 9 Roding Road London Industrial Estate London,E6 6LF,,,Hertfordshire and North London,Wastewater,Fluoranthene,0.1,0.0,Food & Drink,Food & Drink,5,3,6,7,,inf,inf,
BN2832IK,Animal vegetable and food treating etc vegetable,Britvic Soft Drinks Plc,Beckton Soft Drinks Factory 9 Roding Road London Industrial Estate London,E6 6LF,,,Hertfordshire and North London,Wastewater,Heptachlor,0.1,0.0,Food & Drink,Food & Drink,5,3,6,7,,inf,inf,
AP3634FT,Animal vegetable and food treating etc vegetable,Princes Limited,Food Factory Lynn Road Wisbech Lynn Road Wisbech Cambridgeshire,PE13 3DG,546900.0,310500.0,Lincolnshire and Northamptonshire,Wastewater,Heptachlor,0.1,0.0,Food & Drink,Food & Drink,7,3,6,7,,52.67230217933072,0.1711552406707043,East of England
AP3634FT,Animal vegetable and food treating etc vegetable,Princes Limited,Food Factory Lynn Road Wisbech Lynn Road Wisbech Cambridgeshire,PE13 3DG,546900.0,310500.0,Lincolnshire and Northamptonshire,Wastewater,Cypermethrin,0.005,0.0,Food & Drink,Food & Drink,7,3,6,7,1.3e-05,52.67230217933072,0.1711552406707043,East of England
MP3434CN,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Cleansing Service Group Limited,Holden Close Waste Management Facility UK Resource Management Ltd Holden Close Bolckow Industrial Estate Middlesbrough,TS6 7AL,454550.0,520760.0,North East,Controlled Waters,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Waste Treatment,Hazardous Waste,8,1,14,9,,54.5791134786137,-1.1575776162369589,North East
MP3434CN,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Cleansing Service Group Limited,Holden Close Waste Management Facility UK Resource Management Ltd Holden Close Bolckow Industrial Estate Middlesbrough,TS6 7AL,454550.0,520760.0,North East,Controlled Waters,Fluoranthene,0.1,0.0,Waste Treatment,Hazardous Waste,8,1,14,9,,54.5791134786137,-1.1575776162369589,North East
MP3434CN,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Cleansing Service Group Limited,Holden Close Waste Management Facility UK Resource Management Ltd Holden Close Bolckow Industrial Estate Middlesbrough,TS6 7AL,454550.0,520760.0,North East,Controlled Waters,Heptachlor,0.1,0.0,Waste Treatment,Hazardous Waste,8,1,14,9,,54.5791134786137,-1.1575776162369589,North East
MP3434CN,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Cleansing Service Group Limited,Holden Close Waste Management Facility UK Resource Management Ltd Holden Close Bolckow Industrial Estate Middlesbrough,TS6 7AL,454550.0,520760.0,North East,Controlled Waters,Benzo(a)pyrene,1.0,0.0,Waste Treatment,Hazardous Waste,8,1,14,9,,54.5791134786137,-1.1575776162369589,North East
MP3434CN,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING PHYSICO-CHEMICAL TREATMENT,Cleansing Service Group Limited,Holden Close Waste Management Facility UK Resource Management Ltd Holden Close Bolckow Industrial Estate Middlesbrough,TS6 7AL,454550.0,520760.0,North East,Controlled Waters,Cypermethrin,0.005,0.0,Waste Treatment,Hazardous Waste,8,1,14,9,1.3e-05,54.5791134786137,-1.1575776162369589,North East
JP3547JL,DISPOSAL OR RECOVERY OF HAZARDOUS WASTE WITH A CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING SOLVENT RECLAMATION OR REGENERATION,Fcc Recycling (Uk) Limited,Knottingley Process Plant Weeland Road West Yorkshire,WF11 8DZ,451180.0,423850.0,Yorkshire,Wastewater,Benzo(a)pyrene,1.0,0.0,Waste Treatment,Hazardous Waste,13,3,14,9,,53.70857386899971,-1.226115421881878,Yorkshire and The Humber
VP3936UG,DISPOSAL OR RECOVERY OF HAZ WASTE WITH  CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING REPACKAGING PRIOR TO SUBMISSION TO ANY OF THE OTHER ACTIVITIES LISTED IN THIS SECTION OR IN SECTION 5.1,Future Industrial Services Limited,Acornfield Road Waste Management Centre Acornfield Road Knowsley Industrial Park Merseyside,L33 7UF,343780.0,398870.0,Greater Manchester Merseyside and Cheshire,Wastewater,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Waste Treatment,Hazardous Waste,4,3,14,9,,53.48352987187417,-2.848672100515867,North West
VP3936UG,DISPOSAL OR RECOVERY OF HAZ WASTE WITH  CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING REPACKAGING PRIOR TO SUBMISSION TO ANY OF THE OTHER ACTIVITIES LISTED IN THIS SECTION OR IN SECTION 5.1,Future Industrial Services Limited,Acornfield Road Waste Management Centre Acornfield Road Knowsley Industrial Park Merseyside,L33 7UF,343780.0,398870.0,Greater Manchester Merseyside and Cheshire,Wastewater,Benzo(a)pyrene,1.0,0.0,Waste Treatment,Hazardous Waste,4,3,14,9,,53.48352987187417,-2.848672100515867,North West
VP3936UG,DISPOSAL OR RECOVERY OF HAZ WASTE WITH  CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING REPACKAGING PRIOR TO SUBMISSION TO ANY OF THE OTHER ACTIVITIES LISTED IN THIS SECTION OR IN SECTION 5.1,Future Industrial Services Limited,Acornfield Road Waste Management Centre Acornfield Road Knowsley Industrial Park Merseyside,L33 7UF,343780.0,398870.0,Greater Manchester Merseyside and Cheshire,Wastewater,Cypermethrin,0.005,0.0,Waste Treatment,Hazardous Waste,4,3,14,9,1.3e-05,53.48352987187417,-2.848672100515867,North West
VP3936UG,DISPOSAL OR RECOVERY OF HAZ WASTE WITH  CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING REPACKAGING PRIOR TO SUBMISSION TO ANY OF THE OTHER ACTIVITIES LISTED IN THIS SECTION OR IN SECTION 5.1,Future Industrial Services Limited,Acornfield Road Waste Management Centre Acornfield Road Knowsley Industrial Park Merseyside,L33 7UF,343780.0,398870.0,Greater Manchester Merseyside and Cheshire,Wastewater,Fluoranthene,0.1,0.0,Waste Treatment,Hazardous Waste,4,3,14,9,,53.48352987187417,-2.848672100515867,North West
VP3936UG,DISPOSAL OR RECOVERY OF HAZ WASTE WITH  CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING REPACKAGING PRIOR TO SUBMISSION TO ANY OF THE OTHER ACTIVITIES LISTED IN THIS SECTION OR IN SECTION 5.1,Future Industrial Services Limited,Acornfield Road Waste Management Centre Acornfield Road Knowsley Industrial Park Merseyside,L33 7UF,343780.0,398870.0,Greater Manchester Merseyside and Cheshire,Wastewater,Heptachlor,0.1,0.0,Waste Treatment,Hazardous Waste,4,3,14,9,,53.48352987187417,-2.848672100515867,North West
FP3599LH,DISPOSAL OR RECOVERY OF HAZ WASTE WITH CAPACITY EXCEEDING 10 TONNES PER DAY INVOLVING BLENDING OR MIXING PRIOR TO SUBMISSION TO ANY OF THE OTHER ACTIVITIES LISTED IN THIS SECTION OR IN SECTION 5.1,BKP Waste & Recycling Limited,BKP Hazardous Waste Transfer and Treatment Station Unit 8 Casbrook Park Bunny Lane Timsbury Hampshire,SO51 0PG,436000.0,124880.0,Solent and South Downs,Wastewater,"Indeno(1,2,3-cd)pyrene",1.0,0.0,Waste Treatment,Hazardous Waste,9,3,14,9,,51.022170874295036,-1.4881011795767993,South East
